PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temp,RH,WS,WD,BP
39,69,0.4,51.15,27.35,12.2,0.8,1.44,34.91,0.2,0.35,22.45,83.5,1.15,72,712
32,54,0.2,41.1,21.75,12.55,1.8,0.71,28.42,0.2,0.35,24.3,85.5,1.6,72,711.5
26,40,0.6,40.83,22.2,12.23,2.2,0.5,31.53,0.2,0.4,27,85.33,1.5,81.33,710.67
26,40,0.75,40,21.9,12.05,1.5,0.43,32.76,0.2,0.4,27,86,1.3,82.5,710
28,35,0.45,37.6,20.45,12.3,1.65,0.38,31.07,0.2,0.35,27,86,1.45,72.5,710
28,35,0.55,37,20.15,12.1,1.3,0.37,32.84,0.2,0.4,26.8,86,1.35,80,710
30.25,38.75,0.75,25.15,13.95,12.3,1.33,0.36,34.81,0.17,0.38,23.05,86,1.3,74.5,710.75
22,35,0.7,27.75,15.3,13.55,None,0.39,31.71,0.2,0.35,22.85,87,1.25,75,711
24.5,40.5,1.17,30.42,17.12,12.38,1.18,0.38,33.45,0.2,0.43,22.82,86.75,1.52,82.25,712
30.33,50.33,0.63,32,17.57,12.43,3.23,0.45,33.16,0.2,0.37,24.17,84.67,1.63,73.67,713
33.67,54,1.13,37.5,20.9,12.03,3.7,0.48,32.18,0.2,0.37,26.97,79.67,1.97,78.33,713
33,51.33,1.07,41.17,22.77,11.63,2.13,0.5,31.15,0.2,0.47,26.87,73.33,1.5,88.33,713
28.75,48.25,1.4,42.75,23.93,11.75,1.9,0.57,32.31,0.22,0.45,26.9,66.5,1.6,91.5,712
28,43,0.7,40.7,22.2,11.7,1.5,0.52,29.4,0.2,0.5,26.9,59,1.8,97,711
23.25,38.5,1.15,25,14.22,11.32,1.47,0.47,32.2,0.2,0.5,21.63,55.5,1.73,95,709.75
21.25,38,0.85,27.55,15.32,10.55,0.7,0.48,34.66,0.2,0.5,21.3,57.75,1.48,99.25,709
22,32,0.7,31.1,17.1,10.5,0.7,0.51,25.56,0.25,0.5,21.6,55.5,1.1,100.5,708.5
19,39,1,31.5,17.6,11.1,1,0.55,30.71,0.2,0.4,22.4,58,1,87,708
19,41.5,1.2,36.55,20.4,11.6,1.1,0.62,32.12,0.2,0.4,26.75,63.5,1,83,709
20.33,46.33,1.07,36.9,20.47,11.83,3.7,0.64,30.69,0.2,0.47,26.93,69.33,1.43,93.67,710
24.33,50.67,0.6,36.87,20.1,12.07,3.87,0.61,32.05,0.23,0.5,27,73.67,1.53,94.67,711.33
29,49.5,0.57,37.73,20.52,12.25,1.87,0.62,29.66,0.2,0.45,26.77,77.25,1.35,83,712
35,48,0.8,30.7,17,12.2,1.1,0.65,34.42,0.2,0.4,21.5,80,1.2,74,712
28,52,0.85,32.4,17.95,12.3,1.1,0.78,26.12,0.25,0.55,23.1,81,0.65,110.5,712
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
